Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,Average Accuracy,Average Train Time,Average Test Time
FloodModeling2_disc,0.970149254,0.985074627,0.975124378,0.990049751,0.970149254,0.975124378,0.980099502,0.980099502,0.985074627,0.980099502,0.985074627,0.980099502,0.980099502,0.980099502,0.990049751,0.990049751,0.960199005,0.980099502,0.985074627,0.975124378,0.965174129,0.975124378,0.950248756,0.980099502,0.985074627,0.985074627,0.960199005,0.955223881,0.990049751,0.970149254,0.977114428,5.357458909,0.693188572
FloodModeling3_disc,0.913043478,0.918478261,0.934782609,0.929347826,0.945652174,0.945652174,0.89673913,0.934782609,0.945652174,0.934782609,0.945652174,0.907608696,0.951086957,0.934782609,0.913043478,0.945652174,0.913043478,0.918478261,0.929347826,0.961956522,0.945652174,0.934782609,0.940217391,0.918478261,0.945652174,0.961956522,0.940217391,0.945652174,0.918478261,0.940217391,0.933695652,6.972845952,0.749108847
FordA,0.984848485,0.979545455,0.982575758,0.988636364,0.984090909,0.987121212,0.985606061,0.983333333,0.981060606,0.990909091,0.989393939,0.984090909,0.982575758,0.987878788,0.983333333,0.987878788,0.982575758,0.982575758,0.981818182,0.990909091,0.988636364,0.986363636,0.988636364,0.982575758,0.991666667,0.986363636,0.982575758,0.987878788,0.986363636,0.984848485,0.985555556,104.3999048,9.678957129
FordB,0.860493827,0.935802469,0.956790123,0.945679012,0.939506173,0.937037037,0.935802469,0.956790123,0.933333333,0.945679012,0.932098765,0.956790123,0.935802469,0.924691358,0.940740741,0.940740741,0.941975309,0.935802469,0.945679012,0.951851852,0.938271605,0.938271605,0.934567901,0.948148148,0.95308642,0.954320988,0.939506173,0.934567901,0.951851852,0.922222222,0.938930041,122.5304002,6.923848637
FreezerRegularTrain,0.997894737,0.995087719,0.997192982,0.996140351,0.989122807,0.998245614,0.996842105,0.992982456,0.996140351,0.998947368,0.99754386,0.992280702,0.995438596,0.996491228,0.998245614,0.995438596,0.996491228,0.996140351,0.995789474,0.998245614,0.995789474,0.996842105,0.994035088,0.994385965,0.99754386,0.996140351,0.996140351,0.997192982,0.998245614,0.998245614,0.996175439,2.017850741,12.28324184
FreezerSmallTrain,0.965263158,0.991578947,0.968070175,0.962105263,0.990175439,0.987368421,0.988070175,0.994035088,0.982807018,0.991578947,0.982105263,0.975087719,0.972631579,0.956491228,0.987719298,0.989122807,0.966666667,0.983508772,0.990526316,0.960701754,0.944210526,0.994385965,0.985614035,0.997894737,0.981754386,0.974385965,0.974035088,0.984912281,0.99122807,0.98,0.97980117,1.630090698,19.59187833
GestureMidAirD1_eq,0.769230769,0.730769231,0.723076923,0.792307692,0.7,0.730769231,0.723076923,0.761538462,0.738461538,0.746153846,0.723076923,0.707692308,0.676923077,0.761538462,0.723076923,0.753846154,0.715384615,0.723076923,0.715384615,0.738461538,0.753846154,0.784615385,0.769230769,0.707692308,0.730769231,0.738461538,0.730769231,0.746153846,0.692307692,0.738461538,0.734871795,6.965744702,0.757169652
GestureMidAirD2_eq,0.692307692,0.646153846,0.653846154,0.607692308,0.638461538,0.6,0.615384615,0.615384615,0.653846154,0.646153846,0.684615385,0.646153846,0.584615385,0.661538462,0.615384615,0.661538462,0.607692308,0.692307692,0.646153846,0.615384615,0.638461538,0.615384615,0.623076923,0.730769231,0.653846154,0.653846154,0.615384615,0.638461538,0.638461538,0.607692308,0.64,6.87951146,0.729112538
GestureMidAirD3_eq,0.553846154,0.492307692,0.584615385,0.492307692,0.569230769,0.538461538,0.530769231,0.6,0.546153846,0.507692308,0.515384615,0.530769231,0.469230769,0.453846154,0.530769231,0.507692308,0.523076923,0.538461538,0.515384615,0.553846154,0.546153846,0.515384615,0.561538462,0.461538462,0.469230769,0.553846154,0.569230769,0.507692308,0.453846154,0.507692308,0.523333333,7.506414874,0.751982307
GesturePebbleZ1_eq,0.895348837,0.930232558,0.924418605,0.970930233,0.947674419,0.924418605,0.959302326,0.965116279,0.965116279,0.947674419,0.959302326,0.947674419,0.959302326,0.947674419,0.941860465,0.936046512,0.970930233,0.976744186,0.970930233,0.941860465,0.930232558,0.965116279,0.953488372,0.959302326,0.959302326,0.953488372,0.936046512,0.912790698,0.936046512,0.941860465,0.947674419,3.533332594,1.341809352
